issue,created_at,closed_at
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/525,2020-08-12 12:59:58,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/524,2020-08-10 16:51:32,2020-08-11 00:47:26
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/523,2020-08-10 16:00:20,2020-08-10 19:20:14
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/523,2020-08-10 16:21:26,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/523,2020-08-10 16:26:32,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/523,2020-08-10 18:02:25,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/523,2020-08-10 18:08:02,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/523,2020-08-10 18:55:21,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/523,2020-08-10 19:14:12,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/522,2020-08-09 18:15:46,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/521,2020-08-09 16:58:41,2020-08-09 16:58:47
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/520,2020-08-09 16:49:51,2020-08-09 16:49:58
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/519,2020-08-09 01:07:42,2020-08-18 12:41:17
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/519,2020-08-18 12:41:17,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/518,2020-08-09 00:02:33,2020-08-09 12:36:12
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/518,2020-08-09 12:36:12,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/518,2020-08-09 14:56:58,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/517,2020-08-08 21:30:16,2020-08-08 21:30:24
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/516,2020-08-06 20:28:52,2020-08-08 20:04:50
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/516,2020-08-08 20:04:49,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/515,2020-08-05 21:01:16,2020-08-06 16:10:26
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/514,2020-08-05 20:53:38,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/514,2020-08-12 17:31:44,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/514,2020-08-12 20:27:12,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/513,2020-08-05 16:06:54,2020-08-27 17:54:40
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/513,2020-08-05 16:11:07,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/513,2020-08-05 18:23:25,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/513,2020-08-08 22:38:41,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/513,2020-08-12 17:15:05,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/513,2020-08-15 22:30:47,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/513,2020-08-19 13:33:45,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/512,2020-08-05 15:56:51,2020-08-05 16:57:14
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/512,2020-08-05 16:46:38,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/512,2020-08-05 16:57:14,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/511,2020-08-05 15:50:59,2020-08-05 18:21:32
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/511,2020-08-05 15:59:00,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/511,2020-08-05 16:08:04,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/511,2020-08-05 16:56:25,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/511,2020-08-05 17:00:14,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/510,2020-08-05 14:59:34,2020-08-05 18:22:05
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/509,2020-08-05 13:54:02,2020-08-05 14:59:56
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/509,2020-08-05 14:36:40,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/509,2020-08-05 14:59:56,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/508,2020-08-05 12:57:25,2020-08-05 15:00:20
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/508,2020-08-05 15:00:20,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/507,2020-08-05 06:48:28,2020-08-05 06:48:34
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/506,2020-08-04 19:53:14,2020-08-04 20:30:10
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/505,2020-08-04 16:01:52,2020-08-04 16:48:14
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/505,2020-08-04 16:33:54,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/505,2020-08-04 16:48:14,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/504,2020-08-03 19:01:47,2020-08-04 16:24:28
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/504,2020-08-04 13:21:57,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/504,2020-08-04 16:24:28,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/503,2020-08-02 17:32:37,2020-08-02 17:32:42
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/502,2020-08-02 17:22:16,2020-08-02 17:22:26
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/501,2020-08-02 17:10:00,2020-08-02 17:10:06
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/500,2020-08-01 20:19:05,2020-08-01 22:03:02
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/500,2020-08-01 22:03:02,
